feature,mean_abs_shap,in_bank_key18
F2265,0.0,False
F2266,0.0,False
F2267,0.0,False
F3918,0.0,False
F2269,0.0,False
F2276,0.0,False
F2270,0.0,False
F2271,0.0,False
F2272,0.0,False
F3917,0.0,False
F2273,0.0,False
F2274,0.0,False
F2275,0.0,False
F2301,0.0,False
F2303,0.0,False
F2339,0.0,False
F2329,0.0,False
F2322,0.0,False
F3903,0.0,False
F2323,0.0,False
F2324,0.0,False
F2325,0.0,False
F2326,0.0,False
F2327,0.0,False
F2330,0.0,False
F2320,0.0,False
F2332,0.0,False
F2333,0.0,False
F2334,0.0,False
F2335,0.0,False
F2336,0.0,False
F2337,0.0,False
F2338,0.0,False
F2321,0.0,False
F2319,0.0,False
F2304,0.0,False
F2313,0.0,False
F2305,0.0,False
F2306,0.0,False
F2307,0.0,False
F2308,0.0,False
F2309,0.0,False
F2310,0.0,False
F2311,0.0,False
F2314,0.0,False
F3904,0.0,False
F2315,0.0,False
F2316,0.0,False
F2317,0.0,False
F3909,0.0,False
F2318,0.0,False
F3906,0.0,False
F3905,0.0,False
F2418,0.0,False
F2420,0.0,False
F2589,0.0,False
F2825,0.0,False
F3815,0.0,False
F2528,0.0,False
F2529,0.0,False
F2530,0.0,False
F2531,0.0,False
F2533,0.0,False
F2534,0.0,False
F2538,0.0,False
F2524,0.0,False
F2539,0.0,False
F2541,0.0,False
F2542,0.0,False
F2545,0.0,False
F3795,0.0,False
F3794,0.0,False
F2550,0.0,False
F2526,0.0,False
F2523,0.0,False
F2557,0.0,False
F2513,0.0,False
F2506,0.0,False
F2507,0.0,False
F2508,0.0,False
F2509,0.0,False
F2510,0.0,False
F2511,0.0,False
F2512,0.0,False
F2514,0.0,False
F2522,0.0,False
F2515,0.0,False
F2516,0.0,False
F2517,0.0,False
F2518,0.0,False
F2519,0.0,False
F2520,0.0,False
F2521,0.0,False
F2553,0.0,False
F2558,0.0,False
F2504,0.0,False
F2578,0.0,False
F3777,0.0,False
F2570,0.0,False
F2571,0.0,False
F2572,0.0,False
F2573,0.0,False
F3775,0.0,False
F2577,0.0,False
F3774,0.0,False
F3779,0.0,False
F3772,0.0,False
F3771,0.0,False
F3770,0.0,False
F3769,0.0,False
F3768,0.0,False
F3767,0.0,False
F2588,0.0,False
F3778,0.0,False
F3781,0.0,False
F2559,0.0,False
F2567,0.0,False
F2560,0.0,False
F2561,0.0,False
F2562,0.0,False
F2563,0.0,False
F2564,0.0,False
F2565,0.0,False
F2566,0.0,False
F2568,0.0,False
F3782,0.0,False
F3792,0.0,False
F3791,0.0,False
F2569,0.0,False
F3790,0.0,False
F3788,0.0,False
F3786,0.0,False
F3785,0.0,False
F2505,0.0,False
F2503,0.0,False
F3858,0.0,False
F3849,0.0,False
F2441,0.0,False
F3851,0.0,False
F2444,0.0,False
F2445,0.0,False
F2446,0.0,False
F3850,0.0,False
F2449,0.0,False
F2451,0.0,False
F2436,0.0,False
F2452,0.0,False
F2453,0.0,False
F2456,0.0,False
F2457,0.0,False
F2460,0.0,False
F2461,0.0,False
F2462,0.0,False
F2437,0.0,False
F2435,0.0,False
F2464,0.0,False
F2424,0.0,False
F3857,0.0,False
F2421,0.0,False
F2422,0.0,False
F3856,0.0,False
F2423,0.0,False
F3855,0.0,False
F3854,0.0,False
F2425,0.0,False
F2434,0.0,False
F2426,0.0,False
F3853,0.0,False
F2428,0.0,False
F2430,0.0,False
F2431,0.0,False
F2432,0.0,False
F2433,0.0,False
F2463,0.0,False
F2465,0.0,False
F2502,0.0,False
F2495,0.0,False
F3834,0.0,False
F2490,0.0,False
F3833,0.0,False
F2492,0.0,False
F2493,0.0,False
F3832,0.0,False
F2494,0.0,False
F2496,0.0,False
F3837,0.0,False
