feature,value_auc,category_rate_auc,missingness_auc,value_auc_sep,category_rate_auc_sep,missingness_auc_sep,flagged
F1274,0.24458047362888766,,0.4991112098655705,0.7554195263711123,,0.5008887901344294,False
F287,0.7546413502109705,,0.4954662102016099,0.7546413502109705,,0.5045337897983901,False
F286,0.7546413502109705,,0.4954662102016099,0.7546413502109705,,0.5045337897983901,False
F285,0.7546413502109705,0.8154008438818565,0.4954662102016099,0.7546413502109705,0.8154008438818565,0.5045337897983901,False
F283,0.7546413502109705,0.8154008438818565,0.4954662102016099,0.7546413502109705,0.8154008438818565,0.5045337897983901,False
F264,0.7540364824058668,,0.5891999654359392,0.7540364824058668,,0.5891999654359392,False
F2474,0.24606481481481482,0.7594907407407407,0.4622689385678683,0.7539351851851852,0.7594907407407407,0.5377310614321317,False
F156,0.7530718773096823,,0.5893110642027429,0.7530718773096823,,0.5893110642027429,False
F553,0.24862515522441014,,0.5673402543750283,0.7513748447755899,,0.5673402543750283,False
F1167,0.2493068502810326,,0.4998889012331963,0.7506931497189674,,0.5001110987668037,False
F555,0.24976992453524755,,0.5635628963037028,0.7502300754647524,,0.5635628963037028,False
F1713,0.24985930263522732,,0.4996111543161871,0.7501406973647726,,0.5003888456838129,False
F1719,0.24985930263522732,,0.4996111543161871,0.7501406973647726,,0.5003888456838129,False
F1393,0.2502694738634382,,0.49944450616598157,0.7497305261365619,,0.5005554938340184,False
F1387,0.2502694738634382,,0.49944450616598157,0.7497305261365619,,0.5005554938340184,False
F261,0.7496764651506749,,0.5891999654359392,0.7496764651506749,,0.5891999654359392,False
F2519,0.25086543830262426,,0.49971608092927944,0.7491345616973757,,0.5002839190707206,False
F1491,0.2537607059220572,,0.4998889012331963,0.7462392940779428,,0.5001110987668037,False
F1820,0.2540174571221957,,0.49977780246639264,0.7459825428778043,,0.5002221975336074,False
F1826,0.2540174571221957,,0.49977780246639264,0.7459825428778043,,0.5002221975336074,False
F250,0.25541067943941814,,0.5673402543750283,0.7445893205605818,,0.5673402543750283,False
F252,0.2563960979201178,,0.5635628963037028,0.7436039020798821,,0.5635628963037028,False
F55,0.7434931267880818,,0.5823742492260805,0.7434931267880818,,0.5823742492260805,False
F2074,0.7425306857520926,,0.4996111543161871,0.7425306857520926,,0.5003888456838129,False
F2182,0.7424415820362618,,0.49977780246639264,0.7424415820362618,,0.5002221975336074,False
F1279,0.2576461454962661,,0.4991112098655705,0.7423538545037339,,0.5008887901344294,False
F1285,0.2576461454962661,,0.4991112098655705,0.7423538545037339,,0.5008887901344294,False
F2516,0.25801228364042433,,0.49971608092927944,0.7419877163595756,,0.5002839190707206,False
F2139,0.25852650471968025,,0.49977780246639264,0.7414734952803197,,0.5002221975336074,False
F512,0.2596596724667349,,0.5591607791178209,0.7403403275332652,,0.5591607791178209,False
F172,0.7388242142025611,,0.5645696431535042,0.7388242142025611,,0.5645696431535042,False
F1059,0.26144869148984373,,0.49944450616598157,0.7385513085101563,,0.5005554938340184,False
F509,0.26196264073694986,,0.5591607791178209,0.7380373592630501,,0.5591607791178209,False
